Game ID,date,season,neutral,is_home,playoff,team1,team2,score1,score2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,is_win,gm_no
192012120CHI,1920-12-12,1920,0,0,NA,AKR,CHI,0,0,1645.856,1566.206,0.521070559,0.478929441,1645.214,1566.849,0.5,11
192012180RIC,1920-12-18,1920,0,1,NA,RIC,CBD,0,39,1300,1506.055,0.307469188,0.692530812,1278.682,1527.373,0,1
192012180RIC,1920-12-18,1920,0,0,NA,CBD,RIC,39,0,1506.055,1300,0.692530812,0.307469188,1527.373,1278.682,1,13
192012190CST,1920-12-19,1920,0,1,NA,CST,ARI,14,14,1300,1508.607,0.304349992,0.695650008,1305.967,1502.64,0.5,1
192012190CST,1920-12-19,1920,0,0,NA,ARI,CST,14,14,1508.607,1300,0.695650008,0.304349992,1502.64,1305.967,0.5,10
192109250AKR,1921-09-25,1921,0,1,NA,AKR,COL,14,0,1598.476,1444.042,0.779570231,0.220429769,1609.332,1433.186,1,1
192109250AKR,1921-09-25,1921,0,0,NA,COL,AKR,0,14,1444.042,1598.476,0.220429769,0.779570231,1433.186,1609.332,0,1
192110020AKR,1921-10-02,1921,0,1,NA,AKR,CCL,41,0,1609.332,1502.63,0.728771018,0.271228982,1628.139,1483.823,1,2
192110020AKR,1921-10-02,1921,0,0,NA,CCL,AKR,0,41,1502.63,1609.332,0.271228982,0.728771018,1483.823,1628.139,0,1
192110020ARI,1921-10-02,1921,0,1,NA,ARI,MNN,20,0,1503.427,1504.688,0.5907124,0.4092876,1527.647,1480.468,1,1
192110020ARI,1921-10-02,1921,0,0,NA,MNN,ARI,0,20,1504.688,1503.427,0.4092876,0.5907124,1480.468,1527.647,0,1
192110020BFF,1921-10-02,1921,0,1,NA,BFF,HAM,17,0,1550.424,1411.544,0.763800099,0.236199901,1562.92,1399.048,1,1
192110020BFF,1921-10-02,1921,0,0,NA,HAM,BFF,0,17,1411.544,1550.424,0.236199901,0.763800099,1399.048,1562.92,0,1
192110020DAY,1921-10-02,1921,0,1,NA,DAY,COL,42,13,1530.29,1433.186,0.717713031,0.282286969,1548.174,1415.301,1,1
192110020DAY,1921-10-02,1921,0,0,NA,COL,DAY,13,42,1433.186,1530.29,0.282286969,0.717713031,1415.301,1548.174,0,2
